"numberOfVersionsUntil.","numberOfFixesUntil.","numberOfRefactoringsUntil.","numberOfAuthorsUntil.","linesAddedUntil.","maxLinesAddedUntil.","avgLinesAddedUntil.","linesRemovedUntil.","maxLinesRemovedUntil.","avgLinesRemovedUntil.","codeChurnUntil.","maxCodeChurnUntil.","avgCodeChurnUntil.","ageWithRespectTo.","weightedAgeWithRespectTo.","bugs"
7,6,0,1,12,4,1.71429,10,4,1.42857,2,2,0.285714,168.857,93.3452,"false"
18,9,1,6,211,84,11.7222,53,14,2.94444,158,84,8.77778,222.714,21.6087,"false"
224,16,0,12,6579,1041,29.3705,5717,1041,25.5223,862,146,3.84821,367,115.991,"true"
10,2,0,2,86,60,8.6,62,51,6.2,24,9,2.4,105,22.3239,"false"
12,3,0,5,233,165,19.4167,78,34,6.5,155,131,12.9167,184.714,78.8087,"false"
15,4,0,5,121,69,8.06667,119,69,7.93333,2,6,0.133333,367,68.9906,"false"
27,5,0,5,152,42,5.62963,182,32,6.74074,-30,41,-1.11111,367,62.4445,"false"
73,16,0,8,2096,439,28.7123,1160,439,15.8904,936,282,12.8219,333.143,84.0883,"false"
50,6,0,8,574,115,11.48,707,115,14.14,-133,14,-2.66,367,119.907,"true"
26,6,0,6,112,54,4.30769,89,54,3.42308,23,7,0.884615,355.714,79.8367,"false"
60,3,0,7,986,170,16.4333,1102,170,18.3667,-116,35,-1.93333,367,74.1623,"true"
3,0,0,1,149,149,49.6667,149,149,49.6667,0,149,0,60,1.28571,"false"
14,4,0,5,53,9,3.78571,61,9,4.35714,-8,0,-0.571429,322.714,68.9003,"false"
37,6,0,6,177,65,4.78378,167,65,4.51351,10,11,0.27027,367,82.0153,"false"
16,2,0,4,151,30,9.4375,109,31,6.8125,42,19,2.625,169.143,46.8515,"false"
110,7,0,9,1350,176,12.2727,1190,176,10.8182,160,30,1.45455,367,92.3705,"false"
31,2,0,6,571,152,18.4194,578,152,18.6452,-7,6,-0.225806,367,61.5161,"false"
10,4,0,3,29,9,2.9,30,10,3,-1,0,-0.1,322.714,50.9852,"false"
84,31,0,8,2092,395,24.9048,1163,62,13.8452,929,395,11.0595,223.429,46.9666,"true"
14,4,0,4,279,92,19.9286,43,10,3.07143,236,88,16.8571,224.857,8.69329,"false"
61,13,0,8,667,241,10.9344,705,241,11.5574,-38,5,-0.622951,367,79.6989,"true"
36,3,0,5,842,188,23.3889,593,97,16.4722,249,123,6.91667,367,157.823,"false"
13,2,0,4,74,29,5.69231,50,29,3.84615,24,29,1.84615,139.714,13.749,"false"
50,6,0,8,271,42,5.42,217,42,4.34,54,27,1.08,367,128.633,"false"
49,4,0,7,405,136,8.26531,338,136,6.89796,67,17,1.36735,367,104.855,"false"
28,6,0,7,407,225,14.5357,365,225,13.0357,42,32,1.5,329,74.1846,"true"
74,8,0,8,1181,247,15.9595,1310,247,17.7027,-129,33,-1.74324,367,74.9741,"true"
9,4,0,4,17,4,1.88889,21,6,2.33333,-4,0,-0.444444,256.571,48.3193,"false"
6,3,0,3,148,71,24.6667,6,4,1,142,71,23.6667,222.857,10.582,"false"
34,12,0,7,316,123,9.29412,181,123,5.32353,135,60,3.97059,333.143,70.9878,"false"
13,4,0,7,52,17,4,7,4,0.538462,45,17,3.46154,226.571,29.2555,"false"
11,4,0,5,18,5,1.63636,21,5,1.90909,-3,0,-0.272727,319.714,89.1905,"false"
44,9,0,6,292,61,6.63636,271,61,6.15909,21,16,0.477273,367,78.2143,"false"
41,5,0,8,535,87,13.0488,363,87,8.85366,172,41,4.19512,329,80.2275,"false"
18,5,0,4,134,64,7.44444,136,64,7.55556,-2,5,-0.111111,367,53.8454,"false"
52,10,0,7,355,130,6.82692,355,130,6.82692,0,10,0,367,51.1952,"false"
24,7,0,7,267,108,11.125,124,44,5.16667,143,64,5.95833,278.571,145.973,"true"
9,3,0,5,12,4,1.33333,11,4,1.22222,1,1,0.111111,236,61.1071,"false"
42,3,0,6,254,53,6.04762,255,53,6.07143,-1,5,-0.0238095,367,84.9809,"false"
19,6,0,5,101,37,5.31579,22,4,1.15789,79,37,4.15789,229.714,16.587,"false"
17,3,0,6,80,15,4.70588,37,6,2.17647,43,9,2.52941,239.143,49.5089,"false"
19,6,0,5,70,23,3.68421,89,23,4.68421,-19,11,-1,270.143,145.004,"false"
7,0,0,1,94,34,13.4286,73,26,10.4286,21,11,3,9.57143,3.71581,"false"
39,14,0,8,431,164,11.0513,258,164,6.61538,173,74,4.4359,333.143,72.3752,"false"
22,4,0,8,105,23,4.77273,66,23,3,39,19,1.77273,248.571,69.2898,"true"
84,8,0,8,919,251,10.9405,803,251,9.55952,116,18,1.38095,367,87.5335,"false"
132,8,0,8,2132,535,16.1515,2129,535,16.1288,3,39,0.0227273,367,74.4663,"false"
8,4,0,4,12,4,1.5,10,4,1.25,2,1,0.25,228.143,40.2857,"true"
5,2,0,2,144,82,28.8,1,1,0.2,143,82,28.6,228.857,59.0307,"false"
45,15,0,7,813,187,18.0667,414,187,9.2,399,93,8.86667,333.143,98.4973,"false"
28,4,0,5,265,76,9.46429,256,76,9.14286,9,6,0.321429,367,52.4016,"false"
19,7,0,6,317,121,16.6842,312,120,16.4211,5,18,0.263158,229.857,51.1739,"false"
33,4,0,4,397,54,12.0303,280,53,8.48485,117,53,3.54545,164.714,42.6312,"false"
49,4,0,9,630,89,12.8571,197,43,4.02041,433,89,8.83673,224.143,62.839,"false"
121,8,0,10,1517,223,12.5372,1385,237,11.4463,132,39,1.09091,367,130.518,"false"
5,1,0,2,26,11,5.2,10,4,2,16,7,3.2,103.286,51.945,"false"
38,13,0,7,453,172,11.9211,269,172,7.07895,184,77,4.84211,333.143,69.9451,"false"
49,4,0,7,497,97,10.1429,583,97,11.898,-86,19,-1.7551,367,51.8896,"true"
15,2,0,7,86,17,5.73333,52,11,3.46667,34,15,2.26667,221,46.3405,"false"
111,21,0,9,5118,788,46.1081,5065,788,45.6306,53,279,0.477477,367,80.9683,"false"
21,4,0,7,52,15,2.47619,227,82,10.8095,-175,2,-8.33333,236,27.4478,"false"
44,4,0,8,286,82,6.5,252,82,5.72727,34,21,0.772727,367,62.7033,"false"
36,6,0,7,597,165,16.5833,87,12,2.41667,510,165,14.1667,239.571,13.5219,"false"
30,3,0,6,929,78,30.9667,902,78,30.0667,27,16,0.9,367,30.1708,"false"
18,4,0,4,599,151,33.2778,51,24,2.83333,548,151,30.4444,169.857,73.1803,"true"
19,5,0,7,240,46,12.6316,215,44,11.3158,25,10,1.31579,234.571,21.7625,"false"
26,6,0,7,207,50,7.96154,164,50,6.30769,43,14,1.65385,367,104.823,"false"
38,13,0,7,484,172,12.7368,296,172,7.78947,188,73,4.94737,333.143,72.0003,"false"
45,6,0,8,1727,444,38.3778,722,107,16.0444,1005,430,22.3333,229,25.5065,"false"
9,5,0,3,234,103,26,26,15,2.88889,208,103,23.1111,228.857,15.5336,"false"
72,11,0,7,873,188,12.125,818,188,11.3611,55,14,0.763889,367,101.333,"false"
1,0,0,1,0,0,0,0,0,0,0,0,0,172.714,0,"false"
35,6,0,6,177,54,5.05714,201,54,5.74286,-24,5,-0.685714,367,57.4762,"false"
27,4,0,8,317,98,11.7407,91,35,3.37037,226,63,8.37037,248.571,58.6223,"false"
17,4,0,5,66,23,3.88235,41,17,2.41176,25,22,1.47059,367,118.11,"false"
16,3,0,4,79,27,4.9375,81,27,5.0625,-2,6,-0.125,367,74.094,"false"
3,1,0,2,3,2,1,3,2,1,0,0,0,49.8571,40.6667,"false"
34,5,0,7,553,184,16.2647,514,184,15.1176,39,25,1.14706,367,78.5451,"false"
107,10,0,9,1707,139,15.9533,863,70,8.06542,844,119,7.88785,248.571,94.0384,"true"
22,6,0,4,192,109,8.72727,185,109,8.40909,7,5,0.318182,367,58.026,"false"
2,2,0,1,2,2,1,3,3,1.5,-1,0,-0.5,57.8571,0,"false"
34,12,0,7,316,122,9.29412,183,122,5.38235,133,59,3.91176,333.143,70.3734,"false"
35,7,0,7,215,50,6.14286,148,46,4.22857,67,41,1.91429,281.143,35.0671,"true"
28,2,0,7,981,334,35.0357,1039,334,37.1071,-58,12,-2.07143,367,59.3,"false"
8,2,0,2,132,62,16.5,104,50,13,28,12,3.5,105,81.7056,"true"
38,6,0,5,239,58,6.28947,226,58,5.94737,13,9,0.342105,367,67.2791,"true"
116,9,0,8,1922,368,16.569,1691,368,14.5776,231,29,1.99138,367,76.0182,"false"
1,0,0,1,0,0,0,0,0,0,0,0,0,12.2857,0,"false"
58,14,0,8,673,206,11.6034,476,206,8.2069,197,49,3.39655,333.143,65.2539,"false"
76,6,0,8,1158,300,15.2368,1252,370,16.4737,-94,23,-1.23684,367,66.1541,"false"
167,8,0,11,2144,515,12.8383,1636,515,9.79641,508,47,3.04192,329,77.0235,"false"
27,5,0,5,629,146,23.2963,80,12,2.96296,549,146,20.3333,226,3.16489,"false"
29,5,0,4,280,93,9.65517,256,93,8.82759,24,25,0.827586,367,34.4097,"false"
90,8,0,8,4337,329,48.1889,4198,329,46.6444,139,101,1.54444,367,36.5847,"true"
38,13,0,7,493,173,12.9737,285,173,7.5,208,75,5.47368,333.143,73.2634,"false"
21,5,0,5,147,54,7,139,54,6.61905,8,31,0.380952,367,56.1244,"false"
82,4,0,7,1665,441,20.3049,1510,441,18.4146,155,135,1.89024,367,71.0099,"false"
80,10,0,8,620,91,7.75,506,91,6.325,114,15,1.425,367,106.514,"false"
4,1,0,2,11,8,2.75,11,8,2.75,0,0,0,87.7143,8.35065,"false"
1,0,0,1,0,0,0,0,0,0,0,0,0,29,0,"false"
33,2,0,5,798,141,24.1818,730,127,22.1212,68,72,2.06061,367,112.254,"false"
47,7,0,9,502,140,10.6809,300,140,6.38298,202,71,4.29787,367,154.785,"false"
28,4,0,5,104,44,3.71429,103,44,3.67857,1,6,0.0357143,367,59.0316,"false"
1,0,0,1,0,0,0,0,0,0,0,0,0,35.7143,0,"false"
87,19,0,7,3123,378,35.8966,2127,378,24.4483,996,216,11.4483,363.857,109.912,"true"
7,3,0,4,19,7,2.71429,13,5,1.85714,6,6,0.857143,191.571,95.6842,"false"
35,4,0,8,219,110,6.25714,49,7,1.4,170,106,4.85714,243.857,141.279,"true"
84,8,0,6,857,102,10.2024,680,102,8.09524,177,59,2.10714,367,122.828,"true"
8,3,0,3,28,7,3.5,18,5,2.25,10,6,1.25,175,34.1888,"false"
17,4,0,4,68,23,4,68,23,4,0,6,0,367,61.6723,"false"
41,6,0,7,337,105,8.21951,316,105,7.70732,21,15,0.512195,367,80.2128,"false"
37,5,0,5,1295,285,35,1325,285,35.8108,-30,43,-0.810811,367,63.2596,"false"
135,24,0,9,5002,649,37.0519,4154,634,30.7704,848,269,6.28148,288.143,96.7068,"false"
51,6,0,5,809,159,15.8627,805,159,15.7843,4,13,0.0784314,367,44.356,"false"
381,27,0,9,19905,1343,52.2441,16702,1343,43.8373,3203,240,8.40682,367,76.8359,"true"
85,9,0,8,2035,315,23.9412,1862,315,21.9059,173,55,2.03529,367,80.5213,"true"
42,14,0,7,365,126,8.69048,218,126,5.19048,147,60,3.5,333.143,73.5362,"false"
34,10,0,8,1053,319,30.9706,473,70,13.9118,580,249,17.0588,220.143,26.9399,"false"
12,4,0,5,58,31,4.83333,52,31,4.33333,6,5,0.5,329,40.2143,"false"
3,0,0,1,9,7,3,35,23,11.6667,-26,0,-8.66667,16,1.73016,"false"
5,2,0,2,22,10,4.4,28,17,5.6,-6,10,-1.2,117,55.5325,"false"
14,4,0,5,129,87,9.21429,156,87,11.1429,-27,5,-1.92857,331.857,44.6523,"false"
397,96,1,10,22934,2078,57.7683,19199,2001,48.3602,3735,630,9.40806,367,176.29,"true"
4,2,0,3,21,19,5.25,15,13,3.75,6,6,1.5,103.143,69.2925,"false"
7,4,0,3,146,69,20.8571,8,4,1.14286,138,69,19.7143,222.857,10.5264,"false"
7,3,0,3,9,5,1.28571,9,5,1.28571,0,0,0,236.143,63.6984,"false"
21,4,0,5,65,16,3.09524,77,21,3.66667,-12,1,-0.571429,288.857,36.0571,"false"
112,11,0,7,1709,500,15.2589,1953,593,17.4375,-244,44,-2.17857,367,61.1051,"true"
71,5,0,10,979,202,13.7887,716,210,10.0845,263,50,3.70423,367,132.269,"true"
19,2,0,5,201,39,10.5789,99,42,5.21053,102,33,5.36842,224,50.1599,"false"
28,4,0,5,139,53,4.96429,136,53,4.85714,3,6,0.107143,367,53.7605,"false"
12,5,0,4,56,27,4.66667,45,27,3.75,11,10,0.916667,334.714,46.8112,"false"
16,5,0,4,115,55,7.1875,119,55,7.4375,-4,6,-0.25,367,51.2435,"false"
21,2,0,6,246,104,11.7143,229,104,10.9048,17,12,0.809524,367,55.2096,"false"
35,6,0,5,386,100,11.0286,214,100,6.11429,172,37,4.91429,227.571,92.5426,"true"
73,9,0,7,2135,604,29.2466,2223,604,30.4521,-88,22,-1.20548,367,73.4238,"true"
33,5,0,4,617,331,18.697,324,129,9.81818,293,202,8.87879,140.143,4.84719,"false"
30,9,0,7,198,77,6.6,115,77,3.83333,83,36,2.76667,333.143,72.3867,"false"
9,5,0,4,12,4,1.33333,11,4,1.22222,1,1,0.111111,224.857,76.9405,"false"
26,5,0,4,153,47,5.88462,139,47,5.34615,14,15,0.538462,367,65.3119,"false"
183,30,0,9,2680,542,14.6448,1779,542,9.72131,901,84,4.9235,367,108.119,"true"
3,1,0,3,5,4,1.66667,5,4,1.66667,0,0,0,177.143,3.45714,"false"
8,4,0,4,155,76,19.375,19,11,2.375,136,76,17,223.571,10.482,"false"
11,4,0,3,234,205,21.2727,29,9,2.63636,205,205,18.6364,322.714,69.5672,"true"
44,6,0,6,328,72,7.45455,277,72,6.29545,51,34,1.15909,367,68.76,"false"
140,26,1,10,7441,594,53.15,6989,594,49.9214,452,111,3.22857,367,55.6267,"true"
72,4,0,7,3216,448,44.6667,3112,448,43.2222,104,52,1.44444,367,109.796,"true"
35,7,0,6,205,78,5.85714,214,78,6.11429,-9,6,-0.257143,367,63.5052,"false"
21,6,0,5,138,55,6.57143,106,37,5.04762,32,18,1.52381,281.143,48.5166,"false"
13,4,0,5,85,60,6.53846,85,65,6.53846,0,3,0,270.143,133.121,"false"
7,3,0,1,122,35,17.4286,44,17,6.28571,78,30,11.1429,9.14286,1.79742,"false"
66,16,0,8,1809,310,27.4091,1676,310,25.3939,133,87,2.01515,367,97.146,"false"
6,1,0,1,63,33,10.5,87,32,14.5,-24,1,-4,169.571,7.85714,"false"
14,4,0,5,59,12,4.21429,70,19,5,-11,4,-0.785714,322.714,69.0678,"false"
53,9,0,7,420,133,7.92453,382,133,7.20755,38,19,0.716981,367,88.0983,"false"
24,8,0,6,1029,316,42.875,448,159,18.6667,581,290,24.2083,220.143,15.1756,"false"
45,15,0,7,625,230,13.8889,368,230,8.17778,257,104,5.71111,333.143,71.442,"false"
43,7,0,8,888,445,20.6512,427,216,9.93023,461,229,10.7209,262,102.345,"false"
112,26,0,10,5361,1562,47.8661,2652,1562,23.6786,2709,746,24.1875,333.143,72.771,"false"
13,3,0,3,130,45,10,21,14,1.61538,109,31,8.38461,169.857,89.5549,"true"
78,8,0,7,1025,277,13.141,1060,277,13.5897,-35,64,-0.448718,367,65.5231,"false"
49,13,0,8,785,308,16.0204,525,308,10.7143,260,61,5.30612,333.143,67.7934,"true"
9,3,0,4,149,68,16.5556,13,4,1.44444,136,68,15.1111,220.857,9.39981,"false"
18,4,0,4,246,75,13.6667,254,75,14.1111,-8,9,-0.444444,367,53.8084,"false"
65,9,0,5,1612,232,24.8,1119,217,17.2154,493,231,7.58461,178.143,49.9435,"true"
31,5,0,4,157,48,5.06452,182,48,5.87097,-25,6,-0.806452,367,79.3467,"false"
7,6,0,1,9,4,1.28571,8,4,1.14286,1,1,0.142857,168.857,85.9841,"false"
35,6,0,6,154,42,4.4,123,42,3.51429,31,18,0.885714,367,84.1169,"false"
11,5,0,6,250,134,22.7273,168,134,15.2727,82,64,7.45455,332,21.8657,"false"
150,10,0,10,4705,765,31.3667,4440,746,29.6,265,43,1.76667,367,155.141,"true"
140,8,0,8,2114,539,15.1,2023,539,14.45,91,206,0.65,367,72.7247,"false"
23,3,0,7,124,39,5.3913,123,39,5.34783,1,5,0.0434783,367,80.6912,"false"
1,0,0,1,0,0,0,0,0,0,0,0,0,14.7143,0,"false"
3,3,0,1,2,1,0.666667,2,1,0.666667,0,0,0,168.857,56,"false"
30,3,0,5,578,138,19.2667,576,138,19.2,2,10,0.0666667,367,76.868,"false"
36,4,0,5,833,498,23.1389,822,498,22.8333,11,30,0.305556,367,77.5493,"false"
33,8,0,7,276,150,8.36364,364,150,11.0303,-88,15,-2.66667,343,44.9234,"true"
7,3,0,4,22,12,3.14286,11,4,1.57143,11,11,1.57143,193.857,83.013,"false"
31,5,0,8,216,41,6.96774,171,41,5.51613,45,36,1.45161,367,146.976,"false"
22,6,0,5,368,85,16.7273,101,31,4.59091,267,65,12.1364,205.857,59.2092,"false"
17,6,0,5,91,42,5.35294,104,42,6.11765,-13,4,-0.764706,367,72.0581,"false"
106,35,0,11,4597,1604,43.3679,2447,849,23.0849,2150,1604,20.283,225.286,17.0975,"true"
4,3,0,2,6,4,1.5,6,4,1.5,0,0,0,184.571,31.7143,"false"
25,5,0,6,443,128,17.72,511,128,20.44,-68,3,-2.72,367,58.7591,"false"
9,4,0,5,31,11,3.44444,31,11,3.44444,0,0,0,220.143,16.5392,"false"
52,5,0,6,1715,296,32.9808,1882,323,36.1923,-167,22,-3.21154,367,65.6336,"false"
58,6,0,10,317,78,5.46552,334,78,5.75862,-17,10,-0.293103,367,92.6327,"true"
38,13,0,7,373,119,9.81579,276,119,7.26316,97,65,2.55263,333.143,68.8728,"false"
39,5,0,8,449,104,11.5128,403,104,10.3333,46,16,1.17949,329,41.8762,"false"
30,5,0,4,387,121,12.9,295,121,9.83333,92,71,3.06667,367,101.296,"false"
13,4,0,1,337,78,25.9231,167,45,12.8462,170,50,13.0769,9.14286,1.99788,"true"
9,5,0,4,14,4,1.55556,13,4,1.44444,1,1,0.111111,224.857,67.7959,"false"
143,8,0,10,7111,1444,49.7273,7724,1444,54.014,-613,217,-4.28671,367,74.1449,"true"
156,12,0,11,3401,580,21.8013,2342,588,15.0128,1059,222,6.78846,367,152.001,"true"
40,7,0,7,624,92,15.6,271,89,6.775,353,74,8.825,333.143,96.3013,"false"
36,13,0,7,614,220,17.0556,384,220,10.6667,230,86,6.38889,333.143,71.7064,"false"
54,5,0,8,621,91,11.5,459,91,8.5,162,48,3,367,116.731,"false"
90,7,0,7,2398,590,26.6444,2072,590,23.0222,326,91,3.62222,367,69.7218,"false"
131,20,0,7,2700,580,20.6107,2515,580,19.1985,185,42,1.41221,367,79.1748,"true"
43,13,0,8,557,190,12.9535,315,190,7.32558,242,100,5.62791,333.143,76.6576,"false"
27,6,0,5,287,81,10.6296,280,81,10.3704,7,7,0.259259,367,88.5903,"false"
60,8,0,7,653,163,10.8833,626,163,10.4333,27,17,0.45,367,74.995,"false"
43,3,0,6,392,71,9.11628,318,71,7.39535,74,52,1.72093,367,61.2591,"false"
59,7,0,9,588,205,9.9661,594,205,10.0678,-6,21,-0.101695,367,79.0481,"true"
11,1,0,3,194,141,17.6364,78,33,7.09091,116,121,10.5455,89,6.10604,"false"
31,8,0,7,508,87,16.3871,85,9,2.74194,423,87,13.6452,229.714,7.75506,"false"
120,31,0,12,3335,544,27.7917,2024,588,16.8667,1311,125,10.925,333.143,131.366,"false"
38,13,0,7,359,135,9.44737,216,135,5.68421,143,58,3.76316,333.143,71.4314,"false"
38,3,0,9,161,27,4.23684,138,21,3.63158,23,14,0.605263,248.143,67.559,"false"
81,7,0,9,796,143,9.82716,565,143,6.97531,231,47,2.85185,367,132.518,"false"
119,55,0,9,8425,2042,70.7983,2635,594,22.1429,5790,2013,48.6555,246.571,30.3109,"true"
37,7,0,8,120,16,3.24324,101,29,2.72973,19,9,0.513513,239.143,61.5,"false"
42,6,0,7,1347,618,32.0714,1432,637,34.0952,-85,5,-2.02381,367,35.6825,"false"
7,2,0,3,64,25,9.14286,49,26,7,15,8,2.14286,184.571,24.154,"false"
11,6,0,5,39,8,3.54545,14,5,1.27273,25,7,2.27273,288.143,107.689,"false"
244,19,0,8,10254,1386,42.0246,5777,1386,23.6762,4477,564,18.3484,367,132.341,"true"
29,4,0,8,172,63,5.93103,146,75,5.03448,26,7,0.896552,243,22.7566,"true"
34,12,0,7,433,238,12.7353,303,238,8.91176,130,60,3.82353,333.143,55.2118,"false"
37,6,0,6,252,66,6.81081,258,66,6.97297,-6,12,-0.162162,367,45.5635,"false"
20,6,0,4,187,89,9.35,179,89,8.95,8,6,0.4,367,47.6921,"false"
38,6,0,7,1976,971,52,2022,971,53.2105,-46,10,-1.21053,367,35.1962,"false"
2,0,0,1,11,11,5.5,1,1,0.5,10,10,5,66.7143,0.714286,"false"
18,3,0,4,80,27,4.44444,101,33,5.61111,-21,6,-1.16667,367,80.5321,"false"
46,4,0,6,943,310,20.5,964,310,20.9565,-21,10,-0.456522,367,34.3077,"false"
42,14,0,7,539,170,12.8333,289,170,6.88095,250,74,5.95238,333.143,68.9268,"false"
6,3,0,2,23,10,3.83333,37,31,6.16667,-14,6,-2.33333,113.857,20.323,"false"
31,11,0,5,562,75,18.129,312,65,10.0645,250,74,8.06452,264.857,34.1734,"false"
16,6,0,6,130,22,8.125,51,20,3.1875,79,22,4.9375,198.143,50.2901,"false"
14,3,0,3,443,180,31.6429,51,22,3.64286,392,180,28,222.857,13.5824,"false"
21,4,0,6,129,32,6.14286,110,32,5.2381,19,8,0.904762,367,100.924,"false"
24,8,0,6,225,77,9.375,189,77,7.875,36,47,1.5,333.143,66.5175,"false"
5,4,0,1,22,19,4.4,18,15,3.6,4,4,0.8,168.857,95.5909,"false"
16,5,0,4,95,42,5.9375,91,22,5.6875,4,21,0.25,176.857,107.777,"false"
2,1,0,2,1,1,0.5,1,1,0.5,0,0,0,22.7143,19.7143,"false"
9,4,0,5,18,4,2,11,4,1.22222,7,4,0.777778,217.143,86.3968,"false"
65,7,0,7,643,217,9.89231,787,324,12.1077,-144,13,-2.21538,367,60.7758,"false"
4,4,0,1,3,1,0.75,3,1,0.75,0,0,0,126.571,74.0476,"false"
5,2,0,1,40,19,8,1,1,0.2,39,18,7.8,9.14286,1.37143,"false"
109,15,0,8,2519,442,23.1101,1822,290,16.7156,697,213,6.3945,367,155.613,"false"
36,13,0,7,351,130,9.75,208,130,5.77778,143,58,3.97222,333.143,72.3289,"false"
10,5,0,1,85,55,8.5,13,3,1.3,72,54,7.2,78.7143,15.4303,"false"
7,3,0,5,11,4,1.57143,8,4,1.14286,3,3,0.428571,264.857,94.5714,"true"
36,13,0,7,482,175,13.3889,288,175,8,194,76,5.38889,333.143,72.0033,"false"
2,0,0,2,0,0,0,0,0,0,0,0,0,135.714,0,"false"
38,3,0,7,476,152,12.5263,395,152,10.3947,81,56,2.13158,367,105.485,"false"
