"numberOfVersionsUntil.","numberOfFixesUntil.","numberOfRefactoringsUntil.","numberOfAuthorsUntil.","linesAddedUntil.","maxLinesAddedUntil.","avgLinesAddedUntil.","linesRemovedUntil.","maxLinesRemovedUntil.","avgLinesRemovedUntil.","codeChurnUntil.","maxCodeChurnUntil.","avgCodeChurnUntil.","ageWithRespectTo.","weightedAgeWithRespectTo.","bugs"
4,0,0,3,18,10,4.5,15,9,3.75,3,2,0.75,183.857,116.056,"false"
54,1,0,9,775,195,14.3519,594,127,11,181,79,3.35185,335.286,138.62,"false"
12,0,0,4,277,116,23.0833,114,58,9.5,163,116,13.5833,151,21.1171,"false"
12,0,1,2,94,34,7.83333,40,23,3.33333,54,34,4.5,158,25.3055,"false"
34,2,1,8,204,30,6,168,38,4.94118,36,10,1.05882,335.286,133.715,"false"
42,1,0,9,657,203,15.6429,466,141,11.0952,191,194,4.54762,302.571,88.4264,"true"
5,0,1,3,8,4,1.6,9,6,1.8,-1,1,-0.2,144.857,94.2143,"false"
24,0,0,4,937,640,39.0417,629,564,26.2083,308,640,12.8333,156.571,11.344,"false"
7,0,0,4,28,10,4,15,5,2.14286,13,10,1.85714,187.143,65.3571,"false"
10,0,0,5,52,18,5.2,38,20,3.8,14,11,1.4,263.429,112.464,"false"
2,0,1,2,14,14,7,21,21,10.5,-7,0,-3.5,95.5714,58.5714,"false"
5,0,0,2,242,118,48.4,37,23,7.4,205,118,41,59.5714,1.63872,"false"
10,0,0,6,42,10,4.2,37,9,3.7,5,3,0.5,227,71.4558,"false"
7,0,0,3,106,49,15.1429,35,14,5,71,49,10.1429,151.143,20.6159,"false"
16,0,0,7,204,75,12.75,108,71,6.75,96,69,6,246.571,99.1989,"false"
12,0,0,7,96,54,8,97,52,8.08333,-1,4,-0.0833333,227.429,70.3393,"true"
5,0,0,4,17,10,3.4,8,6,1.6,9,10,1.8,136.286,34.1597,"true"
5,0,2,2,41,11,8.2,37,35,7.4,4,10,0.8,98.2857,48.4634,"false"
1,0,0,1,0,0,0,0,0,0,0,0,0,43.5714,0,"false"
2,0,0,1,80,80,40,0,0,0,80,80,40,36,0,"false"
15,0,0,5,196,45,13.0667,118,51,7.86667,78,43,5.2,144.286,56.9934,"false"
28,0,0,7,136,25,4.85714,146,30,5.21429,-10,12,-0.357143,227.429,78.4916,"false"
5,0,0,4,53,24,10.6,49,25,9.8,4,10,0.8,110.143,39.5687,"false"
8,0,0,5,41,17,5.125,34,17,4.25,7,10,0.875,240.714,62.4983,"false"
4,0,0,2,26,11,6.5,18,13,4.5,8,9,2,71.8571,27.3242,"false"
13,0,0,5,410,130,31.5385,90,33,6.92308,320,130,24.6154,151.143,31.6415,"false"
32,3,0,4,254,78,7.9375,122,50,3.8125,132,74,4.125,147.429,32.0484,"false"
2,0,0,2,5,5,2.5,8,8,4,-3,0,-1.5,51.8571,17.7143,"false"
20,1,0,7,110,24,5.5,107,26,5.35,3,22,0.15,302.571,107.86,"false"
2,0,0,2,1,1,0.5,2,2,1,-1,0,-0.5,69,32.8571,"false"
49,2,0,5,910,216,18.5714,481,162,9.81633,429,210,8.7551,189.429,49.2801,"false"
7,0,3,4,34,15,4.85714,28,24,4,6,15,0.857143,95.5714,40.2227,"false"
3,0,0,3,16,15,5.33333,15,14,5,1,1,0.333333,133.571,91.7232,"false"
29,2,1,5,613,232,21.1379,416,170,14.3448,197,199,6.7931,175.857,97.6434,"true"
11,2,2,4,26,10,2.36364,33,23,3,-7,10,-0.636364,128.286,17.7967,"false"
4,0,0,2,53,40,13.25,79,66,19.75,-26,0,-6.5,100.143,59.6846,"false"
19,2,0,4,889,224,46.7895,135,102,7.10526,754,224,39.6842,92.5714,16.5832,"true"
7,0,0,2,216,100,30.8571,15,9,2.14286,201,100,28.7143,61.1429,2.64087,"false"
35,0,0,8,293,76,8.37143,286,104,8.17143,7,22,0.2,240.714,69.0843,"false"
38,2,0,8,715,146,18.8158,671,125,17.6579,44,82,1.15789,263.429,62.9702,"false"
10,1,1,3,123,52,12.3,16,6,1.6,107,52,10.7,150.571,9.13357,"false"
4,0,1,2,21,13,5.25,48,37,12,-27,0,-6.75,108.143,36.4082,"false"
10,0,1,1,257,86,25.7,83,66,8.3,174,85,17.4,52.1429,10.075,"false"
1,0,0,1,0,0,0,0,0,0,0,0,0,20,0,"false"
48,1,0,7,920,132,19.1667,1041,305,21.6875,-121,78,-2.52083,297.571,45.7129,"false"
6,0,0,3,10,4,1.66667,10,4,1.66667,0,2,0,183.857,95.3429,"false"
2,0,0,2,3,3,1.5,4,4,2,-1,0,-0.5,109.286,75.1429,"false"
13,0,0,5,53,13,4.07692,40,11,3.07692,13,10,1,191.143,44.8544,"false"
19,1,0,6,391,281,20.5789,907,516,47.7368,-516,5,-27.1579,240.714,26.0142,"false"
2,0,0,1,2,2,1,5,5,2.5,-3,0,-1.5,72.4286,1,"false"
22,1,0,9,107,24,4.86364,99,44,4.5,8,9,0.363636,302.571,137.402,"false"
2,0,0,2,10,10,5,17,17,8.5,-7,0,-3.5,60.2857,26.1429,"false"
2,0,0,2,25,25,12.5,26,26,13,-1,0,-0.5,110.429,74.2857,"false"
8,0,0,3,111,86,13.875,96,86,12,15,86,1.875,59.2857,1.8314,"false"
19,0,0,5,235,43,12.3684,295,89,15.5263,-60,20,-3.15789,263.429,41.0887,"false"
14,1,0,6,72,23,5.14286,87,29,6.21429,-15,14,-1.07143,180.571,64.8433,"false"
6,0,0,3,124,52,20.6667,15,14,2.5,109,52,18.1667,151,10.7108,"false"
14,1,0,5,174,45,12.4286,185,58,13.2143,-11,28,-0.785714,302.571,72.6289,"false"
4,0,0,1,34,31,8.5,32,31,8,2,31,0.5,59.2857,0.252101,"false"
31,2,1,8,228,103,7.35484,203,100,6.54839,25,6,0.806452,335.286,97.2782,"false"
2,0,0,2,11,11,5.5,5,5,2.5,6,6,3,183.857,148,"false"
18,1,0,7,131,38,7.27778,113,43,6.27778,18,14,1,335.286,103.218,"false"
14,1,0,5,230,53,16.4286,127,33,9.07143,103,32,7.35714,201.286,123.433,"false"
46,3,0,8,970,176,21.087,646,178,14.0435,324,81,7.04348,335.286,113.183,"false"
4,0,0,2,198,94,49.5,162,146,40.5,36,80,9,100.143,30.6407,"false"
3,0,1,1,10,10,3.33333,1,1,0.333333,9,10,3,98.2857,2.85714,"false"
2,0,1,2,2,2,1,2,2,1,0,0,0,95.5714,58.5714,"false"
12,0,1,3,265,97,22.0833,189,135,15.75,76,49,6.33333,108.143,48.9294,"true"
3,0,0,1,86,43,28.6667,0,0,0,86,43,28.6667,61.1429,1.42857,"false"
60,1,0,7,3422,490,57.0333,3402,490,56.7,20,209,0.333333,263.429,53.676,"false"
23,0,0,4,580,168,25.2174,181,47,7.86956,399,168,17.3478,155.857,29.2953,"true"
5,0,0,3,67,32,13.4,3,2,0.6,64,32,12.8,139.571,3.46482,"false"
45,2,1,8,742,304,16.4889,670,223,14.8889,72,81,1.6,335.286,120.691,"false"
13,0,0,4,394,114,30.3077,139,84,10.6923,255,109,19.6154,147,45.653,"true"
23,0,0,4,559,140,24.3043,199,48,8.65217,360,140,15.6522,154.857,37.1881,"false"
4,0,0,3,50,33,12.5,30,23,7.5,20,10,5,129.429,60.6971,"false"
11,0,0,4,194,83,17.6364,20,7,1.81818,174,83,15.8182,151.143,11.8527,"false"
5,0,1,4,107,101,21.4,117,115,23.4,-10,3,-2,95.5714,57.0841,"false"
10,0,0,4,314,130,31.4,29,12,2.9,285,130,28.5,151.143,15.9236,"false"
13,0,0,4,221,62,17,72,50,5.53846,149,62,11.4615,151.143,35.0976,"false"
19,0,0,3,296,105,15.5789,282,115,14.8421,14,79,0.736842,104.286,32.4546,"false"
1,0,0,1,0,0,0,0,0,0,0,0,0,28.4286,0,"false"
10,1,0,4,391,162,39.1,69,37,6.9,322,162,32.2,151.143,15.5722,"false"
3,0,0,2,44,34,14.6667,12,11,4,32,33,10.6667,59,7.41558,"true"
26,0,0,6,233,55,8.96154,137,43,5.26923,96,53,3.69231,227.429,58.3875,"false"
13,0,0,3,480,382,36.9231,880,382,67.6923,-400,382,-30.7692,59.2857,0.961607,"false"
23,1,0,7,298,117,12.9565,296,211,12.8696,2,36,0.0869565,227.429,109.638,"false"
9,0,0,4,22,6,2.44444,20,5,2.22222,2,3,0.222222,201.286,50.4221,"false"
7,0,0,4,22,10,3.14286,23,12,3.28571,-1,10,-0.142857,227.429,54.9675,"false"
9,0,1,3,133,75,14.7778,71,29,7.88889,62,74,6.88889,158,24.5231,"false"
83,3,1,9,1996,718,24.0482,1671,657,20.1325,325,83,3.91566,335.286,109.549,"true"
9,0,0,4,516,277,57.3333,133,107,14.7778,383,277,42.5556,59.5714,1.29956,"false"
4,0,0,3,16,10,4,4,3,1,12,10,3,188.429,25.1875,"false"
21,1,0,4,501,104,23.8571,416,104,19.8095,85,40,4.04762,143.857,24.8993,"false"
4,0,0,2,34,17,8.5,111,88,27.75,-77,0,-19.25,76,26.1345,"false"
4,0,0,3,64,46,16,56,48,14,8,10,2,151.143,88.2589,"false"
2,0,0,2,11,11,5.5,11,11,5.5,0,0,0,116.143,80,"true"
3,0,0,3,2,1,0.666667,2,1,0.666667,0,0,0,85.2857,34.2857,"false"
22,2,0,8,172,78,7.81818,142,72,6.45455,30,15,1.36364,335.286,129.655,"false"
10,1,0,3,219,113,21.9,167,69,16.7,52,62,5.2,150.857,30.2061,"false"
12,0,1,2,72,40,6,79,46,6.58333,-7,2,-0.583333,104.429,17.1627,"true"
2,0,0,1,5,5,2.5,6,6,3,-1,0,-0.5,72.1429,38,"false"
4,0,0,2,106,51,26.5,4,4,1,102,51,25.5,151.143,4.61456,"false"
2,0,0,1,22,22,11,20,20,10,2,2,1,102.143,68,"false"
2,0,0,2,1,1,0.5,1,1,0.5,0,0,0,94.4286,60.2857,"false"
11,1,0,7,59,33,5.36364,44,24,4,15,9,1.36364,335.286,127.363,"false"
27,1,0,8,351,87,13,341,89,12.6296,10,43,0.37037,335.286,98.7196,"true"
33,0,0,5,969,345,29.3636,1296,345,39.2727,-327,23,-9.90909,226.571,9.91906,"false"
2,0,0,1,7,7,3.5,10,10,5,-3,0,-1.5,49.4286,13,"false"
6,0,0,4,12,5,2,12,5,2,0,4,0,205.857,93.6071,"false"
11,0,0,4,102,26,9.27273,108,33,9.81818,-6,21,-0.545455,188.429,66.3235,"false"
2,0,0,2,10,10,5,12,12,6,-2,0,-1,97,60.8571,"false"
6,0,0,3,80,50,13.3333,20,9,3.33333,60,43,10,118,51.3429,"false"
13,1,0,6,66,18,5.07692,41,12,3.15385,25,11,1.92308,234.714,42.5519,"false"
16,1,0,3,325,100,20.3125,240,110,15,85,72,5.3125,128.143,85.4026,"true"
4,0,0,3,101,74,25.25,61,44,15.25,40,61,10,64.4286,13.5219,"false"
32,1,0,6,264,50,8.25,194,74,6.0625,70,18,2.1875,187.286,86.5887,"true"
8,0,0,4,76,26,9.5,22,17,2.75,54,24,6.75,207.714,78.6128,"false"
1,0,0,1,0,0,0,0,0,0,0,0,0,33.4286,0,"false"
9,0,0,4,88,27,9.77778,64,45,7.11111,24,20,2.66667,201.286,77.5779,"false"
16,1,0,6,68,20,4.25,43,14,2.6875,25,20,1.5625,227.429,125.456,"false"
8,0,0,3,260,155,32.5,90,77,11.25,170,155,21.25,59.5714,1.3511,"false"
4,1,1,3,17,10,4.25,11,10,2.75,6,10,1.5,150.429,55.8739,"false"
9,0,0,4,41,20,4.55556,39,28,4.33333,2,4,0.222222,204,112.836,"false"
1,0,0,1,0,0,0,0,0,0,0,0,0,59,0,"true"
6,1,0,6,53,35,8.83333,40,29,6.66667,13,6,2.16667,335.286,234.383,"false"
15,2,0,7,80,46,5.33333,69,42,4.6,11,6,0.733333,335.286,129.786,"true"
3,0,0,3,12,11,4,10,9,3.33333,2,2,0.666667,133.571,89.8214,"false"
3,1,0,2,28,27,9.33333,31,30,10.3333,-3,0,-1,110.857,74.0051,"false"
3,0,0,2,34,32,11.3333,40,40,13.3333,-6,2,-2,60.1429,24.479,"false"
14,1,0,3,749,279,53.5,162,63,11.5714,587,279,41.9286,63,7.94602,"true"
3,0,0,2,36,26,12,2,2,0.666667,34,26,11.3333,28.8571,8.77778,"true"
15,0,0,3,257,105,17.1333,70,36,4.66667,187,105,12.4667,147,10.6598,"false"
4,0,0,2,64,31,16,2,2,0.5,62,31,15.5,151,3.79688,"false"
55,1,1,7,1897,458,34.4909,906,494,16.4727,991,372,18.0182,180.571,57.3516,"false"
2,0,0,2,1,1,0.5,2,2,1,-1,0,-0.5,69,32.8571,"false"
2,0,0,2,74,74,37,105,105,52.5,-31,0,-15.5,68.2857,34.1429,"false"
2,0,1,2,4,4,2,6,6,3,-2,0,-1,95.5714,58.5714,"false"
6,0,1,2,67,47,11.1667,23,11,3.83333,44,47,7.33333,104.429,19.9211,"true"
14,1,0,8,226,140,16.1429,247,90,17.6429,-21,50,-1.5,335.286,66.9412,"false"
17,1,0,8,96,22,5.64706,35,10,2.05882,61,22,3.58824,335.286,195.335,"false"
38,2,0,8,502,149,13.2105,539,241,14.1842,-37,66,-0.973684,335.286,165.423,"false"
51,3,0,9,687,170,13.4706,533,150,10.451,154,51,3.01961,335.286,123.062,"true"
13,0,0,3,545,280,41.9231,538,289,41.3846,7,42,0.538462,99.2857,18.9756,"false"
7,2,0,3,30,10,4.28571,31,18,4.42857,-1,10,-0.142857,130.857,18.4,"false"
10,1,0,6,96,31,9.6,75,23,7.5,21,17,2.1,335.286,188.814,"false"
34,3,2,4,1947,597,57.2647,550,224,16.1765,1397,597,41.0882,114,14.3983,"true"
10,0,0,4,36,10,3.6,26,8,2.6,10,10,1,227.429,88.4841,"false"
8,0,0,3,462,186,57.75,103,52,12.875,359,186,44.875,92,3.43043,"true"
40,1,1,4,431,102,10.775,559,257,13.975,-128,56,-3.2,128.143,71.7083,"true"
3,1,0,2,7,4,2.33333,7,4,2.33333,0,0,0,104.286,72.7755,"false"
45,2,2,6,866,208,19.2444,406,58,9.02222,460,208,10.2222,181.429,36.9553,"false"
3,0,1,2,31,29,10.3333,29,27,9.66667,2,2,0.666667,95.5714,58.1567,"false"
19,0,0,7,123,26,6.47368,81,31,4.26316,42,26,2.21053,227.429,112.632,"false"
23,1,0,7,214,64,9.30435,258,91,11.2174,-44,10,-1.91304,335.286,123.165,"false"
32,1,0,9,493,238,15.4062,342,177,10.6875,151,61,4.71875,335.286,161.197,"false"
14,2,0,6,160,55,11.4286,74,52,5.28571,86,45,6.14286,335.286,192.072,"false"
5,0,0,2,71,36,14.2,9,8,1.8,62,36,12.4,151.143,1.87525,"false"
12,0,0,4,49,10,4.08333,30,13,2.5,19,10,1.58333,144.286,56.1283,"false"
10,0,0,4,67,46,6.7,155,132,15.5,-88,2,-8.8,133.571,34.3731,"false"
2,0,0,2,14,14,7,29,29,14.5,-15,0,-7.5,72.1429,35.1429,"false"
3,0,0,1,11,10,3.66667,1,1,0.333333,10,10,3.33333,144.429,17.3896,"false"
10,1,0,7,38,10,3.8,27,9,2.7,11,10,1.1,326.429,119.259,"false"
11,0,3,3,149,58,13.5455,63,27,5.72727,86,55,7.81818,98.2857,30.791,"false"
3,0,0,1,4,3,1.33333,5,3,1.66667,-1,0,-0.333333,33.4286,7.75,"false"
3,0,0,2,15,11,5,17,13,5.66667,-2,0,-0.666667,187.429,111.552,"false"
24,1,0,8,222,69,9.25,202,62,8.41667,20,46,0.833333,335.286,145.326,"true"
4,0,0,3,7,4,1.75,11,5,2.75,-4,0,-1,183.857,135.143,"false"
9,0,0,3,201,76,22.3333,65,34,7.22222,136,76,15.1111,151.143,26.2587,"false"
21,0,0,4,367,120,17.4762,94,31,4.47619,273,120,13,156.429,17.4554,"false"
6,0,0,4,12,8,2,18,12,3,-6,0,-1,77.1429,31.1429,"false"
29,1,3,4,528,202,18.2069,506,142,17.4483,22,60,0.758621,104.429,25.2757,"true"
16,1,0,8,99,40,6.1875,79,33,4.9375,20,7,1.25,335.286,123.701,"false"
8,0,0,3,172,80,21.5,11,6,1.375,161,80,20.125,151.143,5.81063,"false"
12,0,0,5,383,165,31.9167,32,13,2.66667,351,165,29.25,151.143,10.7885,"false"
6,0,0,2,93,67,15.5,121,105,20.1667,-28,8,-4.66667,92.2857,42.5438,"false"
17,1,0,6,225,104,13.2353,154,37,9.05882,71,82,4.17647,306,52.9251,"false"
4,0,0,2,236,175,59,90,83,22.5,146,172,36.5,85,12.431,"false"
1,0,0,1,0,0,0,0,0,0,0,0,0,33.4286,0,"false"
13,0,0,6,199,71,15.3077,117,71,9,82,48,6.30769,227.429,112.184,"false"
2,0,0,1,0,0,0,0,0,0,0,0,0,258.571,0,"false"
4,0,0,2,15,10,3.75,8,6,2,7,10,1.75,133.429,23.8952,"false"
16,1,0,4,493,183,30.8125,116,69,7.25,377,183,23.5625,156.429,17.9507,"true"
5,0,0,3,49,42,9.8,32,21,6.4,17,40,3.4,137.143,91.9125,"false"
5,1,0,3,27,14,5.4,22,21,4.4,5,10,1,136.286,59.8307,"true"
9,1,0,7,41,16,4.55556,31,19,3.44444,10,10,1.11111,335.286,176.348,"false"
2,0,0,2,3,3,1.5,4,4,2,-1,0,-0.5,100.857,66.7143,"false"
13,0,0,5,157,46,12.0769,99,46,7.61538,58,25,4.46154,195.429,74.919,"false"
25,1,0,7,181,41,7.24,136,23,5.44,45,18,1.8,335.286,142.445,"false"
3,0,1,3,16,15,5.33333,20,19,6.66667,-4,0,-1.33333,95.5714,56.7679,"false"
2,0,0,1,7,7,3.5,0,0,0,7,7,3.5,33.4286,1.28571,"false"
10,0,0,4,153,73,15.3,87,46,8.7,66,46,6.6,188.429,66.817,"false"
2,0,1,1,5,5,2.5,5,5,2.5,0,0,0,45.8571,11.7143,"false"
4,0,0,2,18,15,4.5,23,19,5.75,-5,0,-1.25,98,56.6667,"false"
6,0,0,2,184,82,30.6667,22,17,3.66667,162,82,27,61.1429,3.62811,"false"
29,1,1,8,645,187,22.2414,531,196,18.3103,114,43,3.93103,299.286,137.167,"false"
13,1,0,7,90,46,6.92308,77,31,5.92308,13,15,1,335.286,128.394,"false"
15,0,0,5,125,31,8.33333,111,63,7.4,14,17,0.933333,227.429,86.8217,"false"
6,0,0,5,67,45,11.1667,52,38,8.66667,15,8,2.5,227.429,153.461,"false"
55,2,0,7,1160,135,21.0909,770,137,14,390,114,7.09091,227.429,96.5483,"false"
22,2,0,5,730,253,33.1818,204,111,9.27273,526,253,23.9091,151,20.4826,"false"
17,2,0,8,97,29,5.70588,91,27,5.35294,6,6,0.352941,335.286,136.047,"false"
66,2,1,8,1141,370,17.2879,1098,366,16.6364,43,44,0.651515,335.286,108.214,"true"
10,1,0,3,126,64,12.6,111,52,11.1,15,60,1.5,150.429,65.0283,"false"
20,0,0,7,102,26,5.1,71,11,3.55,31,18,1.55,227.429,47.8207,"false"
61,2,0,9,1255,253,20.5738,846,301,13.8689,409,246,6.70492,227.429,126.056,"false"
5,0,0,4,13,10,2.6,4,2,0.8,9,10,1.8,194.571,29.044,"false"
10,1,0,8,56,33,5.6,42,27,4.2,14,6,1.4,335.286,221.936,"false"
23,3,0,9,189,74,8.21739,151,71,6.56522,38,18,1.65217,335.286,168.672,"false"
7,0,0,4,15,5,2.14286,18,6,2.57143,-3,0,-0.428571,201.286,82.7238,"false"
2,0,0,1,5,5,2.5,6,6,3,-1,0,-0.5,72.1429,38,"false"
20,2,0,6,159,56,7.95,118,44,5.9,41,52,2.05,306.143,70.6496,"false"
2,0,0,1,4,4,2,4,4,2,0,0,0,49.4286,13,"false"
2,0,0,2,5,5,2.5,5,5,2.5,0,0,0,135,100.857,"false"
10,0,0,4,301,140,30.1,22,16,2.2,279,140,27.9,107.857,8.43901,"false"
6,0,0,3,27,15,4.5,29,22,4.83333,-2,3,-0.333333,98.8571,50.9947,"false"
3,0,1,1,55,36,18.3333,40,31,13.3333,15,27,5,71.8571,13.4026,"false"
10,0,0,3,54,15,5.4,9,4,0.9,45,15,4.5,144.857,9.12963,"false"
6,0,0,4,26,17,4.33333,23,14,3.83333,3,3,0.5,227.429,146.115,"false"
4,0,0,3,6,3,1.5,6,3,1.5,0,0,0,183.857,116.833,"false"
16,1,0,3,127,54,7.9375,95,65,5.9375,32,33,2,177.143,103.288,"false"
14,0,0,6,109,19,7.78571,194,81,13.8571,-85,16,-6.07143,227.429,27.6356,"false"
12,1,0,7,75,41,6.25,55,28,4.58333,20,13,1.66667,335.286,79.4971,"false"
2,0,1,2,2,2,1,2,2,1,0,0,0,95.5714,58.5714,"false"
13,0,0,3,184,48,14.1538,68,16,5.23077,116,48,8.92308,85.2857,13.2958,"true"
4,0,0,3,8,4,2,13,7,3.25,-5,0,-1.25,188.429,24.5714,"false"
4,0,0,3,7,4,1.75,9,5,2.25,-2,0,-0.5,183.857,135.143,"false"
18,1,0,7,122,43,6.77778,146,47,8.11111,-24,6,-1.33333,335.286,105.317,"false"
2,0,0,2,11,11,5.5,5,5,2.5,6,6,3,56.1429,22,"false"
5,0,1,2,73,54,14.6,52,23,10.4,21,31,4.2,108.143,36.6458,"false"
6,0,0,4,35,28,5.83333,39,33,6.5,-4,1,-0.666667,133.571,85.5837,"false"
3,0,0,3,27,22,9,30,17,10,-3,5,-1,92.2857,56.963,"false"
15,1,0,7,153,94,10.2,140,86,9.33333,13,8,0.866667,335.286,79.2708,"false"
12,0,0,3,384,199,32,368,176,30.6667,16,199,1.33333,155.429,4.52827,"false"
19,1,0,7,157,35,8.26316,120,47,6.31579,37,23,1.94737,302.571,118.944,"true"
8,1,0,3,180,119,22.5,202,109,25.25,-22,10,-2.75,132.429,26.9929,"true"
4,1,0,3,19,10,4.75,13,12,3.25,6,10,1.5,127.286,42.6316,"false"
25,0,2,5,438,65,17.52,209,52,8.36,229,65,9.16,176.714,29.349,"true"
8,0,0,3,51,24,6.375,11,5,1.375,40,21,5,182,90.619,"false"
6,1,0,2,92,51,15.3333,127,68,21.1667,-35,10,-5.83333,133.429,28.9488,"false"
3,0,0,2,22,12,7.33333,15,15,5,7,10,2.33333,104.857,44.1558,"false"
10,0,0,6,89,77,8.9,150,59,15,-61,58,-6.1,241,92.0546,"false"
13,0,0,4,87,48,6.69231,46,15,3.53846,41,42,3.15385,201.286,35.179,"false"
2,0,0,2,2,2,1,3,3,1.5,-1,0,-0.5,52.4286,16.2857,"false"
2,0,0,2,9,9,4.5,9,9,4.5,0,0,0,116.143,80,"false"
9,0,0,5,24,9,2.66667,26,9,2.88889,-2,4,-0.222222,239,75.1845,"true"
3,0,0,2,113,112,37.6667,104,103,34.6667,9,9,3,92.2857,57.8622,"false"
5,0,0,3,347,236,69.4,310,241,62,37,38,7.4,183.857,102.326,"false"
12,2,0,7,43,17,3.58333,33,12,2.75,10,6,0.833333,335.286,133.997,"false"
44,2,0,9,544,101,12.3636,310,53,7.04545,234,95,5.31818,305,127.624,"false"
8,1,0,6,50,28,6.25,40,26,5,10,6,1.25,335.286,209.046,"false"
10,1,0,6,113,42,11.3,89,42,8.9,24,42,2.4,333.143,84.6068,"false"
35,0,0,6,527,283,15.0571,570,368,16.2857,-43,246,-1.22857,240.714,36.527,"false"
9,0,0,4,130,40,14.4444,139,89,15.4444,-9,32,-1,133.571,44.1066,"false"
2,0,0,2,8,8,4,11,11,5.5,-3,0,-1.5,98,63.8571,"false"
9,0,0,3,163,103,18.1111,89,46,9.88889,74,85,8.22222,64.4286,13.8379,"false"
4,0,0,3,18,10,4.5,15,13,3.75,3,6,0.75,133.571,58.9683,"false"
114,2,0,9,2068,547,18.1404,2879,709,25.2544,-811,100,-7.11403,335.286,133.395,"false"
3,0,0,2,4,4,1.33333,0,0,0,4,4,1.33333,381,0.571429,"false"
12,0,0,3,271,106,22.5833,81,47,6.75,190,106,15.8333,150.571,11.2177,"false"
12,0,0,3,163,79,13.5833,40,13,3.33333,123,79,10.25,149.143,5.0447,"false"
66,2,2,9,2036,286,30.8485,1375,224,20.8333,661,129,10.0152,335.286,180.901,"false"
10,1,0,7,56,18,5.6,51,22,5.1,5,10,0.5,303.571,142.923,"false"
13,0,0,4,35,9,2.69231,54,28,4.15385,-19,7,-1.46154,104.429,46.1959,"false"
15,0,0,4,101,26,6.73333,66,16,4.4,35,20,2.33333,190.143,68.7341,"false"
5,0,2,2,38,20,7.6,36,35,7.2,2,14,0.4,71.8571,22.0226,"false"
9,0,0,4,19,7,2.11111,94,71,10.4444,-75,7,-8.33333,170.286,46.1429,"false"
22,1,0,8,132,35,6,142,49,6.45455,-10,7,-0.454545,335.286,138.313,"false"
